Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
The Sound of Music,3.0,3.99,-0.99,12/26/2020,175,2:55,"English,German",Robert Wise,1965,"Music,Romance,Drama,Family",USA,12486,141384,"Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,Peggy Wood,Charmian Carr,Heather Menzies,Nicholas Hammond,Duane Chase,Angela Cartwright,Debbie Turner,Kym Karath"
A Christmas Story,5.0,3.66,1.34,12/24/2020,93,1:33,English,Bob Clark,1983,"Comedy,Family",USA,10234,73288,"Melinda Dillon,Darren McGavin,Peter Billingsley,Jean Shepherd,Ian Petrella,Scott Schwartz,R.D. Robb,Zack Ward,Yano Anaya,Tedde Moore,Jeff Gillen"
Butch Cassidy and the Sundance Kid,4.0,4.03,-0.03,12/05/2020,111,1:51,"English,Spanish",George Roy Hill,1969,"Drama,Crime,Western",USA,7867,67663,"Paul Newman,Robert Redford,Katharine Ross,Strother Martin,Henry Jones,Jeff Corey,George Furth,Cloris Leachman,Ted Cassidy,Kenneth Mars,Donnelly Rhodes,Jody Gilbert,Timothy Scott"
Slap Shot,2.5,3.54,-1.04,12/02/2020,123,2:03,English,George Roy Hill,1977,"Comedy,Drama",USA,1601,12465,"Paul Newman,Strother Martin,Michael Ontkean,Jennifer Warren,Lindsay Crouse,Jerry Houser,Andrew Duncan,Jeff Carlson,Steve Carlson,David Hanson,Yvon Barrette,Allan F. Nicholls,Brad Sullivan"
The Rental,2.0,2.74,-0.74,07/19/2020,88,1:28,English,Dave Franco,2020,Horror,USA,10552,39021,"Dan Stevens,Alison Brie,Sheila Vand,Jeremy Allen White,Toby Huss,Connie Wellman,Anthony Molinari,Chase Barker,Jovani Ridler"
The Farewell,4.5,4.05,0.45,11/15/2020,100,1:40,"English,Chinese,Japanese",Lulu Wang,2019,"Drama,Comedy",China,38714,193482,"Awkwafina,Tzi Ma,Diana Lin,Zhao Shuzhen,Jiang Yongbo,Gil Perez-Abraham,Ines Laimins,Jim Liu,X Mayo,Aoi Mizuhara,Han Chen"
Hamilton,3.5,4.16,-0.66,10/24/2020,160,2:40,English,Thomas Kail,2020,"History,Drama",USA,40051,160923,"Lin-Manuel Miranda,Leslie Odom Jr.,Renée Elise Goldsberry,Phillipa Soo,Daveed Diggs,Christopher Jackson,Jasmine Cephas Jones,Okieriete Onaodowan,Anthony Ramos,Jonathan Groff,Carleigh Bettiol,Ariana DeBose,Hope Easterbrook"
Men in Black II,1.0,2.84,-1.84,,88,1:28,English,Barry Sonnenfeld,2002,"Adventure,Science Fiction,Comedy,Action",USA,3620,134352,"Will Smith,Tommy Lee Jones,Lara Flynn Boyle,Rosario Dawson,Johnny Knoxville,Rip Torn,Tony Shalhoub,Patrick Warburton,Jack Kehler,David Cross,Colombe Jacobsen-Derstine,Peter Spellos,Michael Rivkin,Michael Bailey Smith,Lenny Venito,Howard Spiegel,Alpheus Merchant,Jay Johnston,Joel McKinnon Miller,Derek Cecil,Sean Rouse,Peter Spruyt,Kevin Cotteleer,Marty Belafsky,Rick Baker,Martha Stewart,Michael Jackson,Sid Hillman,Tom Whitenight,Nick Cannon,Andre Blair,Jeremy Howard,Mary Stein,Martin Klebba,John Alexander,Denise Cheshire,Ernie Grunwald"
Men in Black,3.0,3.58,-0.58,10/22/2020,98,1:38,"English,Spanish",Barry Sonnenfeld,1997,"Action,Comedy,Adventure,Science Fiction",USA,8753,256344,"Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,Rip Torn,Tony Shalhoub,Siobhan Fallon Hogan,Mike Nussbaum,Jon Gries,Sergio Calderón,Carel Struycken,Fredric Lehne,Richard Hamilton,Kent Faulcon,John Alexander,Keith Campbell,Ken Thorley,Patrick Breen,Becky Ann Baker,Sean Whalen,Harsh Nayyar,Michael Willis,Willie C. Carpenter,Peter Linari,David Cross,Charles C. Stevenson Jr."
The Assistant,4.0,3.51,0.49,11/22/2020,88,1:28,"English,Chinese",Kitty Green,2019,Drama,USA,13761,53469,"Julia Garner,Matthew Macfadyen,Makenzie Leigh,Kristine Froseth,Jonny Orsini,Noah Robbins,Alexander Chaplin,Jay O. Sanders,Juliana Canfield,Dagmara Domińczyk,Bregje Heinen,Clara Wong,Purva Bedi,Patrick Breen,Migs Govea,Daoud Heidami,Owen Holland,Rory Kulz"
The Invisible Man,3.0,3.53,-0.53,09/06/2020,124,2:04,English,Leigh Whannell,2020,"Horror,Science Fiction,Thriller",Australia,56956,307680,"Elisabeth Moss,Aldis Hodge,Storm Reid,Michael Dorman,Harriet Dyer,Oliver Jackson-Cohen,Benedict Hardie,Zara Michales,Renee Lim,Sam Smith,Nick Kici,Vivienne Greer,Anthony Brandon Wong,Serag Mohammed"
Ladybugs,0.5,2.39,-1.89,08/11/2020,90,1:30,English,Sidney J. Furie,1992,"Family,Comedy",USA,437,3908,"Rodney Dangerfield,Jackée Harry,Jonathan Brandis,Ilene Graff,Vinessa Shaw,Tom Parks,Jeannetta Arnette,Nancy Parsons,Blake Clark,Lacrystal Cooke,Jennifer Frances Lee,Jandi Swanson,Vanessa Monique Rossel,Johna Stewart-Bowden,Valentino"
Air Bud: World Pup,1.0,2.14,-1.14,07/22/2020,83,1:23,English,Bill Bannerman,2000,"Family,Comedy",Canada,159,2186,"Kevin Zegers,Dale Midkiff,Chilton Crane,Caitlin Wachs,Miguel Sandoval,Shayn Solberg,Chantal Strand,David Glyn-Jones,Fred Keating,Frank C. Turner,Briana Scurry,Molly Hagan,Brandi Chastain,Martin Ferrero"
Field of Dreams,2.5,3.55,-1.05,11/02/2020,107,1:47,English,Phil Alden Robinson,1989,"Drama,Comedy,Fantasy",USA,4358,44281,"Kevin Costner,Amy Madigan,Gaby Hoffmann,Ray Liotta,Timothy Busfield,James Earl Jones,Burt Lancaster,Frank Whaley,Dwier Brown,James Andelin,Mary Anne Kean,Fern Persons"
The Help,3.5,3.77,-0.27,11/02/2020,146,2:26,English,Tate Taylor,2011,Drama,USA,8677,165308,"Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,Jessica Chastain,Anna Camp,Ahna O'Reilly,Allison Janney,Mary Steenburgen,Mike Vogel,Sissy Spacek,Chris Lowell,Cicely Tyson,Aunjanue Ellis"
Fantastic Mr. Fox,3.5,4.2,-0.70,08/29/2020,87,1:27,English,Wes Anderson,2009,"Comedy,Family,Animation,Adventure",USA,60954,455925,"George Clooney,Meryl Streep,Jason Schwartzman,Bill Murray,Willem Dafoe,Owen Wilson,Wallace Wolodarsky,Eric Chase Anderson,Michael Gambon,Jarvis Cocker,Wes Anderson,Robin Hurlstone"
The Grand Budapest Hotel,5.0,4.21,0.79,08/07/2020,100,1:40,"English,French",Wes Anderson,2014,"Comedy,Drama",Germany,71262,765416,"Ralph Fiennes,Tony Revolori,Adrien Brody,Willem Dafoe,Saoirse Ronan,Jeff Goldblum,F. Murray Abraham,Mathieu Amalric,Edward Norton,Jude Law,Bill Murray,Harvey Keitel,Uwe Holoubek,Jason Schwartzman,Léa Seydoux,Tilda Swinton,Tom Wilkinson,Owen Wilson,Florian Lukas,Bob Balaban,Fisher Stevens,Wallace Wolodarsky,Waris Ahluwalia,Larry Pine,Karl Markovics,Volker Michalowski,Daniel Steiner,Hendrik von Bültzingslöwen,Lisa Kreuzer,Rainer Reiners,Sabine Urig,Matthias Matschke,Philipp Sonntag,Hans Martin Stier,Giselda Volodi,Neal Huff,Steffen Scheumann,Milton Welsh,Piet Paes"
The Life Aquatic with Steve Zissou,3.0,3.77,-0.77,08/05/2020,119,1:59,"English,Icelandic,Portuguese,French,Tagalog,German,Italian",Wes Anderson,2004,"Drama,Adventure,Comedy",USA,25084,179996,"Bill Murray,Owen Wilson,Cate Blanchett,Anjelica Huston,Willem Dafoe,Jeff Goldblum,Michael Gambon,Noah Taylor,Bud Cort,Seu Jorge,Robyn Cohen,Waris Ahluwalia,Niels Koizumi,Pawel Wdowczak,Matthew Gray Gubler,Seymour Cassel,Antonio Monda,Isabella Blow,James Hamilton,Melanie Gerren,Nazzareno Piana,Rudd Simmons,Leonardo Giovannelli,Henry S. F. Cooper Jr.,Pietro Ragusa,Eric Chase Anderson,Robert Wilson,Don McKinnon,Alessio Santini,Paolo Sirignani"
Son of Godzilla,0.5,2.63,-2.13,06/27/2020,86,1:26,Japanese,Jun Fukuda,1967,"Science Fiction,Action,Adventure",Japan,2192,7446,"Tadao Takashima,Akira Kubo,Bibari Maeda,Akihiko Hirata,Yoshio Tsuchiya,Kenji Sahara,Ken'ichirô Maruyama,Seishirô Kuno,Yasuhiko Saijô,Susumu Kurobe,Kazuo Suzuki,Wataru Ômae,Chōtarō Tōgin,Osman Yusuf,Seiji Onaka,Yû Sekita,Haruo Nakajima,'Little Man' Machan"
