Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Don't Worry Darling,3.0,3.06,-0.06,11/10/2022,123,2:03,English,Olivia Wilde,2022,"Thriller,Mystery,Science Fiction",USA,140479,311418,"Florence Pugh,Harry Styles,Chris Pine,Olivia Wilde,Gemma Chan,KiKi Layne,Nick Kroll,Kate Berlant,Timothy Simons,Asif Ali,Sydney Chandler,Douglas Smith,Ari'el Stachel,Dita Von Teese,Daisy Sudeikis,Marcello Julian Reyes"
Barbarian,1.0,3.72,-2.72,10/20/2022,103,1:43,English,Zach Cregger,2022,"Horror,Thriller",USA,125833,305211,"Georgina Campbell,Bill Skarsgård,Justin Long,Matthew Patrick Davis,Richard Brake,Kurt Braunohler,Jaymes Butler,Sophie Sörensen,Rachel Fowler,J.R. Esposito,Kate Nichols,Kate Bosworth,Brooke Dillman"
Nope,3.5,3.89,-0.39,,130,2:10,English,Jordan Peele,2022,"Thriller,Mystery,Science Fiction,Horror",Japan,206806,584999,"Daniel Kaluuya,Keke Palmer,Brandon Perea,Steven Yeun,Michael Wincott,Wrenn Schmidt,Barbie Ferreira,Terry Notary,Devon Graye,Donna Mills,Oz Perkins,Eddie Jemison"
Aftersun,,4.17,,,102,1:42,"English,Turkish",Charlotte Wells,2022,Drama,Turkey,12508,28206,"Frankie Corio,Paul Mescal,Celia Rowlson-Hall,Sally Messham,Ayşe Parlak,Sophia Lamanova,Brooklyn Toulson,Spike Fearn,Harry Perdios,Frank Corio,Ruby Thompson,Ethan James Smith,Onur Ekşioğlu"
Top Gun: Maverick,5.0,4.13,0.87,,131,2:11,English,Joseph Kosinski,2022,"Drama,Action",USA,169281,481787,"Tom Cruise,Miles Teller,Jennifer Connelly,Jon Hamm,Glen Powell,Ed Harris,Val Kilmer,Lewis Pullman,Charles Parnell,Bashir Salahuddin,Monica Barbaro,Jay Ellis,Danny Ramirez,Jack Schumacher,Manny Jacinto,Kara Wang,Greg Tarzan Davis,Jake Picking,Raymond Lee"
Everything Everywhere All at Once,4.0,4.45,-0.45,,140,2:20,"English,Cantonese,Chinese",Daniel Scheinert,2022,"Adventure,Action,Science Fiction",USA,280353,770507,"Michelle Yeoh,Ke Huy Quan,Stephanie Hsu,James Hong,Jamie Lee Curtis,Tallie Medel,Jenny Slate,Harry Shum Jr.,Biff Wiff,Anthony Molinari,Peter Banifaz,Audrey Wasilewski,Andy Le,Brian Le,Daniel Scheinert,Sunita Mani"
The Batman,2.0,4.07,-2.07,,177,2:57,English,Matt Reeves,2022,"Mystery,Thriller,Crime",USA,329896,1095122,"Robert Pattinson,Zoë Kravitz,Paul Dano,Jeffrey Wright,John Turturro,Peter Sarsgaard,Andy Serkis,Colin Farrell,Jayme Lawson,Gil Perez-Abraham,Peter McDonald,Con O'Neill,Alex Ferns,Rupert Penry-Jones,Charlie Carver,Max Carver,Barry Keoghan,Kosha Engler,Archie Barnes,Janine Harouni,Hana Hrzic,Joseph Walker,Luke Roberts,Oscar Novak,Stella Stocker,Sandra Dickinson,Jack Bennett,Andre Nightingale,Richard James-Neale,Lorraine Tai,Joseph Balderrama,James Eeles,Dave Simon"
Spider-Man: No Way Home,2.5,4.04,-1.54,,148,2:28,"English,Tagalog",Jon Watts,2021,"Action,Adventure,Science Fiction",USA,267550,1061993,"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau,Jamie Foxx,Willem Dafoe,Alfred Molina,Benedict Wong,Tony Revolori,Marisa Tomei,Andrew Garfield,Tobey Maguire,Angourie Rice,Arian Moayed,Paula Newsome,Hannibal Buress,Martin Starr,J.B. Smoove,J.K. Simmons,Rhys Ifans,Charlie Cox,Thomas Haden Church,Haroon Kahn"
Don't Look Up,1.0,3.12,-2.12,,138,2:18,English,Adam McKay,2021,"Science Fiction,Comedy",USA,170521,795179,"Jennifer Lawrence,Leonardo DiCaprio,Meryl Streep,Rob Morgan,Jonah Hill,Cate Blanchett,Mark Rylance,Tyler Perry,Timothée Chalamet,Ron Perlman,Ariana Grande,Kid Cudi,Himesh Patel,Melanie Lynskey,Michael Chiklis,Tomer Sisley,Paul Guilfoyle,Robert Joy,Jack Alberts,Ting Lik,Lance A. Williams,Shimali de Silva,Hettienne Park,Rafael Silva,Lonnie Farmer,Homa Sarabi Daunis,Barbara Douglass"
Encanto,4.0,3.69,0.31,,102,1:42,"English,Spanish",Byron Howard,2021,"Animation,Comedy,Family,Fantasy",USA,126120,513266,"Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Mauro Castillo,Jessica Darrow,Angie Cepeda,Carolina Gaitán,Diane Guerrero,Wilmer Valderrama,Rhenzy Feliz,Ravi Cabot-Conyers,Adassa,Maluma,Rose Portillo,Juan Castano,Sarah-Nicole Robles,Hector Elias,Alan Tudyk,Olga Merediz"
