Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Top Gun: Maverick,4.0,4.18,-0.18,06/05/2022,131,2:11,English,Joseph Kosinski,2022,"Drama,Action",USA,63996,146328,"Tom Cruise,Miles Teller,Jennifer Connelly,Glen Powell,Jon Hamm,Monica Barbaro,Lewis Pullman,Bashir Salahuddin,Val Kilmer,Ed Harris,Charles Parnell,Jay Ellis,Danny Ramirez,Greg Tarzan Davis,Lyliana Wray,Jean Louisa Kelly,Manny Jacinto"
The Hustler,3.5,4.0,-0.5,06/03/2022,134,2:14,English,Robert Rossen,1961,Drama,USA,3157,25235,"Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott,Myron McCormick,Murray Hamilton,Michael Constantine,Stefan Gierasch,Jake LaMotta,Vincent Gardenia,Gordon B. Clarke,Clifford A. Pellow,Alexander Rose,Carolyn Coates,Carl York,Willie Mosconi"
The Color of Money,4.0,3.56,0.44,06/01/2022,119,1:59,"English,Spanish",Martin Scorsese,1986,Drama,USA,5989,37890,"Paul Newman,Tom Cruise,Mary Elizabeth Mastrantonio,Helen Shaver,John Turturro,Bill Cobbs,Robert Agins,Alvin Anastasia,Randall Arney,Elizabeth Bracco,Vito D'Ambrosio,Ron Dean,Lisa Dodson,Donald A. Feeney,Paul Geier,Carey Goldenberg,Joe Guastaferro,Paul Herman,Mark Jarvis,Lawrence Linn"
When Harry Met Sally...,4.0,3.99,0.01,05/20/2022,96,1:36,English,Rob Reiner,1989,"Comedy,Romance,Drama",USA,35742,188965,"Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,Steven Ford,Lisa Jane Persky,Michelle Nicastro,Gretchen Palmer,Robert Alan Beuth,David Burdick,Joe Viviani,Harley Jane Kozak,Joseph Hunt,Kevin Rooney,Franc Luz,Tracy Reiner,Kyle T. Heffner,Kimberley LaMarque"
Spotlight,4.0,3.99,0.01,,129,2:09,English,Tom McCarthy,2015,"Drama,History",Canada,19987,268013,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Stanley Tucci,Brian d'Arcy James,Gene Amoroso,Billy Crudup,Maureen Keiller,Paul Guilfoyle,Len Cariou,Neal Huff,Michael Cyril Creighton,Laurie Heineman,Tim Progosh,Elena Wohl,Doug Murray,Sharon McFarlane,Jamey Sheridan,Robert B. Kennedy,Duane Murray,Brian Chamberlain,Michael Countryman,Tim Whalen,Brad Borbridge,Don Allison,Patty Ross,Paloma Nuñez,Robert Clarke,Gary Galone,David Fraser"
Suicide Squad,1.5,2.08,-0.58,,123,2:03,"English,Japanese,Spanish",David Ayer,2016,"Adventure,Action,Fantasy",USA,36075,500652,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,Jai Courtney,Jay Hernandez,Adewale Akinnuoye-Agbaje,Cara Delevingne,Ike Barinholtz,Scott Eastwood,Adam Beach,Karen Fukuhara,Common,David Harbour,Jim Parrack,Alex Meraz,Corina Calderon,Ben Affleck,Ezra Miller,Robin Atkin Downes,Shailyn Pierre-Dixon,Matt Baram,Alain Chanoine,Ted Whittall,Michael Murray,Jaime FitzSimons,Christopher Dyson,Bambadjan Bamba,Robert B. Kennedy,Billy Otis,James McGowan,Derek Perks,Aidan Devine,Andrew Bee,Clive McLean,Frank J. Zupancic,Kent Sheridan,Roger Shank,Dwight Ireland,Amanda Brugel,Peter Tufford Kennedy,Rosemary De Los Santos,Kevin Hanchard,Joel Lacoursiere,Jameson Kraemer,Ho Chow,Birgitte Solem,Kevin Vance"
X-Men: Apocalypse,2.0,2.65,-0.65,,144,2:24,English,Bryan Singer,2016,"Fantasy,Science Fiction,Adventure,Action",USA,17791,239978,"James McAvoy,Jennifer Lawrence,Michael Fassbender,Oscar Isaac,Nicholas Hoult,Rose Byrne,Tye Sheridan,Sophie Turner,Evan Peters,Olivia Munn,Kodi Smit-McPhee,Alexandra Shipp,Lucas Till,Josh Helman,Ben Hardy,Lana Condor,Warren Scherer,Rochelle Okoye,Monique Ganderton,Fraser Aitcheson,Abdulla Hamam,Hesham Hammoud,Antonio Daniel Hidalgo,Al Maini,Berdj Garabedian,Ally Sheedy,Anthony Konechny,Emma Elle Paterson,Manuel Sinor,Gustave Ouimet,Lukas Penar,Ryan Hollyman,Joanne Boland,Nabeel El Khafif,Manuel Tadros,Abanoub Andraous,Aladeen Tawfeek,Carolina Bartczak"
Rogue One: A Star Wars Story,3.0,3.63,-0.63,,133,2:13,English,Gareth Edwards,2016,"Action,Adventure,Science Fiction",USA,42204,519140,"Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,Jiang Wen,Ben Mendelsohn,Guy Henry,Forest Whitaker,Riz Ahmed,Mads Mikkelsen,Jimmy Smits,Alistair Petrie,Genevieve O'Reilly,Ben Daniels,Paul Kasey,Stephen Stanton,Ian McElhinney,Fares Fares,Jonathan Aris,Sharon Duncan-Brewster,Spencer Wilding,Daniel Naprous,James Earl Jones,Ingvild Deila,Anthony Daniels,Jimmy Vee,Valene Kane,Beau Gadsdon,Dolly Gadsdon,Duncan Pow,Jordan Stephens,Babou Ceesay,Aidan Cook,Daniel Mays,Andy de la Tour,Tony Pitts,Martin Gordon,Eric MacLennan,Francis Magee,Bronson Webb,Geraldine James,Ariyon Bakare,Simon Farnaby,Drewe Henley,Angus MacInnes,Toby Hefferman,Jack Roth,Geoff Bell,Derek Arnold,Nick Kellington,Michael Smiley,Warwick Davis,Angus Wright,David Ankrum,Ian Whyte,Rian Johnson,Ned Dennehy,Angus Cook,Emeson Nwolie,Jorge Leon Martinez,Russell Balogh,Steen Young,Attila G. Kerekes,Mac Pietowski,Ram Bergman,Katie Sheridan,Terri Douglas,Vanessa Lengies,Vanessa Marshall,Verona Blue,Dave Filoni,David Boat"
Almost Famous,3.5,3.97,-0.47,05/16/2022,122,2:02,English,Cameron Crowe,2000,"Drama,Music",USA,26015,180706,"Kate Hudson,Anna Paquin,Zooey Deschanel,Patrick Fugit,Billy Crudup,Frances McDormand,Jason Lee,Michael Angarano,Fairuza Balk,Noah Taylor,Philip Seymour Hoffman,Jimmy Fallon,Rainn Wilson,Jay Baruchel,John Fedevich,Mark Kozelek,Liz Stauber,Olivia Rosewood,Bijou Phillips,Pauley Perrette"
The Humans,4.0,3.38,0.62,05/10/2022,107,1:47,English,Stephen Karam,2021,Drama,USA,7800,21857,"Richard Jenkins,Jayne Houdyshell,Steven Yeun,Beanie Feldstein,Amy Schumer,June Squibb"
