Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
The Breakfast Club,4.0,3.82,0.18,06/27/2022,98,1:38,English,John Hughes,1985,"Comedy,Drama",USA,33142,533614,"Emilio Estevez,Paul Gleason,Anthony Michael Hall,John Kapelos,Judd Nelson,Molly Ringwald,Ally Sheedy,Perry Crawford,Mary Christian,Ron Dean,Tim Gamble,Fran Gargano,Mercedes Hall"
Back to the Future,3.0,4.2,-1.2,06/27/2022,116,1:56,English,Robert Zemeckis,1985,"Family,Adventure,Comedy,Science Fiction",USA,35975,636414,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson,Claudia Wells,Marc McClure,Wendie Jo Sperber,George DiCenzo,Frances Lee McCain,James Tolkan,J.J. Cohen,Casey Siemaszko,Billy Zane,Harry Waters, Jr.,Donald Fullilove,Lisa Freeman,Cristen Kauffman,Elsa Raven,Will Hare,Ivy Bethune,Jason Marin,Katherine Britton"
Once Upon a Time… in Hollywood,1.0,3.78,-2.78,06/27/2022,162,2:42,"English,Italian,Spanish",Quentin Tarantino,2019,"Thriller,Comedy,Drama",China,114543,885780,"Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,Margaret Qualley,Timothy Olyphant,Julia Butters,Austin Butler,Dakota Fanning,Bruce Dern,Mike Moh,Luke Perry,Damian Lewis,Al Pacino,Nicholas Hammond,Samantha Robinson,Rafał Zawierucha,Lorenza Izzo,Costa Ronin,Damon Herriman,Lena Dunham,Madisen Beaty,Mikey Madison,James Landry Hébert,Maya Hawke,Victoria Pedretti,Sydney Sweeney,Harley Quinn Smith,Dallas Jay Hunter,Kansas Bowling,Parker Love Bowling,Cassidy Vick Hice,Ruby Rose Skotchdopole,Danielle Harris,Josephine Valentina Clark,Scoot McNairy,Clifton Collins Jr.,Marco Rodríguez,Ramón Franco,Raúl Cardona"
The King,3.0,3.35,-0.35,06/27/2022,140,2:20,"English,French,Latin",David Michôd,2019,"Drama,War,History",Australia,22691,153628,"Timothée Chalamet,Joel Edgerton,Sean Harris,Tom Glynn-Carney,Lily-Rose Depp,Thomasin McKenzie,Robert Pattinson,Ben Mendelsohn,Andrew Havill,Dean-Charles Chapman,Steven Elder,Edward Ashley,Stephen Fewell,Tara Fitzgerald,Tom Fisher"
(500) Days of Summer,4.0,3.66,0.34,06/27/2022,95,1:35,"English,French,Swedish",Marc Webb,2009,"Drama,Romance,Comedy",USA,55139,435137,"Joseph Gordon-Levitt,Zooey Deschanel,Chloë Grace Moretz,Geoffrey Arend,Matthew Gray Gubler,Clark Gregg,Patricia Belcher,Rachel Boston,Minka Kelly,Ian Reed Kesler,Valente Rodriguez,Yvette Nicole Brown,Nicole Vicius,Charles Walker,Darryl Alan Reed,Gregory Thompson,Natalie Boren,Maile Flanagan"
Whiplash,2.0,4.38,-2.38,06/27/2022,107,1:47,English,Damien Chazelle,2014,"Drama,Music",USA,94963,816097,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell,Chris Mulkey,Nate Lang,Charlie Ian,Jayson Blair,Kavita Patil,Damon Gupton,Suanne Spoke,Max Kasch,Kofi Siriboe,C.J. Vana,Tarik Lowe,Tyler Kimball,Rogelio Douglas Jr."
Megamind,3.0,3.57,-0.57,06/27/2022,96,1:36,English,Tom McGrath,2010,"Comedy,Science Fiction,Animation,Action,Family",USA,18034,232916,"Will Ferrell,Tina Fey,Brad Pitt,Jonah Hill,David Cross,Ben Stiller,Justin Theroux,Jessica Schulte,Tom McGrath,Emily Nordwind,J.K. Simmons,Ella Olivia Stiller,Quinn Dempsey Stiller,Brian Hopkins,Christopher Knights,Mike Mitchell,Jasper Johannes Andrews,Jack Blessing,Stephen Kearin"
Joker,2.0,3.88,-1.88,06/27/2022,122,2:02,English,Todd Phillips,2019,"Crime,Drama,Thriller",Canada,137015,1269535,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,Brett Cullen,Shea Whigham,Bill Camp,Glenn Fleshler,Leigh Gill,Josh Pais,Rocco Luna,Marc Maron,Sondra James,Murphy Guyer,Douglas Hodge,Dante Pereira-Olson,Carrie Louise Putrello,Sharon Washington,Hannah Gross,Frank Wood,Brian Tyree Henry,April Grace,Mick Szal,Carl Lundstedt,Michael Benz,Ben Warheit,Gary Gulman,Sam Morril,Chris Redd,Mandela Bellamy,Demetrius Dotson II,Greer Barnes"
GoodFellas,3.0,4.43,-1.43,06/27/2022,145,2:25,"English,Italian",Martin Scorsese,1990,"Drama,Crime",USA,53555,521128,"Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Henny Youngman,Gina Mastrogiacomo,Catherine Scorsese,Charles Scorsese,Suzanne Shepherd,Debi Mazar,Margo Winkler,Welker White,Jerry Vale,Julie Garfield,Christopher Serrone,Elaine Kagan,Beau Starr,Kevin Corrigan,Michael Imperioli,Robbie Vinton,Johnny Williams,Daniel P. Conte,Tony Conforti,Frank Pellegrino,Ronald Maccone,Tony Sirico,Joseph D'Onofrio,Steve Forleo,Richard Dioguardi,Frank Adonis,John Manca,Joseph Bono,Katherine Wallach,Mark Evan Jacobs,Angela Pietropinto,Marianne Leone Cooper,Marie Michaels,LoNardo,Melissa Prophet,Illeana Douglas,Susan Varon,Elizabeth Whitcraft,Clem Caserta,Samuel L. Jackson,Fran McGee,Paul Herman,Edward McDonald,Edward Hayes"
Shutter Island,1.0,4.05,-3.05,06/26/2022,138,2:18,"English,German",Martin Scorsese,2010,"Thriller,Mystery,Drama",USA,46609,675596,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Emily Mortimer,Max von Sydow,Michelle Williams,Jackie Earle Haley,Patricia Clarkson,Ted Levine,John Carroll Lynch,Elias Koteas,Robin Bartlett,Christopher Denham,Joseph Sikora,Curtiss Cook,Gary Galone"
Twilight,3.0,2.86,0.14,06/26/2022,122,2:02,English,Catherine Hardwicke,2008,"Romance,Drama,Fantasy",USA,71009,347034,"Robert Pattinson,Kristen Stewart,Billy Burke,Taylor Lautner,Ashley Greene,Peter Facinelli,Kellan Lutz,Nikki Reed,Elizabeth Reaser,Anna Kendrick,Jackson Rathbone,Sarah Clarke,Matt Bushell,Gil Birmingham,Gregory Tyree Boyce,Justin Chon,Michael Welch,Christian Serratos,José Zúñiga"
Casino Royale,3.0,3.93,-0.93,06/26/2022,144,2:24,"English,French",Martin Campbell,2006,"Action,Adventure,Thriller",Bahamas,31424,305715,"Daniel Craig,Eva Green,Mads Mikkelsen,Judi Dench,Jeffrey Wright,Giancarlo Giannini,Caterina Murino,Simon Abkarian,Isaach De Bankolé,Jesper Christensen,Ivana Miličević,Tobias Menzies,Claudio Santamaria,Sébastien Foucan,Malcolm Sinclair,Richard Sammel,Ludger Pistor,Joseph Millson,Darwin Shaw,Clemens Schick,Emmanuel Avena,Tom Chadbon"
The Big Lebowski,3.0,4.11,-1.11,06/26/2022,117,1:57,"English,Hebrew (modern),Spanish,German",Joel Coen,1998,"Comedy,Crime",UK,40740,437351,"Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi,Peter Stormare,Philip Seymour Hoffman,David Huddleston,John Turturro,Tara Reid,Sam Elliott,Ben Gazzara,David Thewlis,Torsten Voges,Flea,Aimee Mann,Philip Moon"
The Grand Budapest Hotel,4.0,4.22,-0.22,06/26/2022,100,1:40,"English,French",Wes Anderson,2014,"Comedy,Drama",Germany,79079,815555,"Ralph Fiennes,Tony Revolori,Adrien Brody,Willem Dafoe,Saoirse Ronan,Jeff Goldblum,Owen Wilson,Edward Norton,F. Murray Abraham,Jude Law,Bill Murray,Léa Seydoux,Tilda Swinton,Harvey Keitel,Tom Wilkinson,Mathieu Amalric,Jason Schwartzman,Florian Lukas,Bob Balaban,Fisher Stevens,Wallace Wolodarsky,Waris Ahluwalia,Uwe Holoubek,Larry Pine,Karl Markovics,Volker Michalowski,Daniel Steiner,Hendrik von Bültzingslöwen,Lisa Kreuzer,Rainer Reiners,Sabine Urig,Matthias Matschke,Philipp Sonntag,Hans Martin Stier,Giselda Volodi,Neal Huff,Steffen Scheumann,Milton Welsh,Piet Paes"
