Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Minions: The Rise of Gru,3.5,3.45,0.05,08/12/2022,87,1:27,English,Kyle Balda,2022,"Family,Animation,Comedy",USA,80594,202989,"Pierre Coffin,Steve Carell,Russell Brand,Alan Arkin,Taraji P. Henson,Jean-Claude Van Damme,Lucy Lawless,Dolph Lundgren,Danny Trejo,Michelle Yeoh,Julie Andrews,RZA,Will Arnett,Steve Coogan,Jimmy O. Yang,Kevin Michael Richardson,John DiMaggio,Michael Beattie,Colette Whitaker,Raymond S. Persi,Kyle Balda,Debra Wilson"
Top Gun: Maverick,4.5,4.13,0.37,08/12/2022,131,2:11,English,Joseph Kosinski,2022,"Drama,Action",USA,169259,481688,"Tom Cruise,Miles Teller,Jennifer Connelly,Jon Hamm,Glen Powell,Ed Harris,Val Kilmer,Lewis Pullman,Charles Parnell,Bashir Salahuddin,Monica Barbaro,Jay Ellis,Danny Ramirez,Jack Schumacher,Manny Jacinto,Kara Wang,Greg Tarzan Davis,Jake Picking,Raymond Lee"
Morbius,3.0,1.9,1.10,11/02/2022,105,1:45,"English,Greek (modern),Norwegian,Spanish",Daniel Espinosa,2022,"Fantasy,Science Fiction,Action",USA,69213,162634,"Jared Leto,Matt Smith,Adria Arjona,Jared Harris,Al Madrigal,Tyrese Gibson,Zaris-Angel Hator,Joe Ferrara,Charlie Shotwell,Joseph Esson,Jason Rennie,Aryan Moaven,Christopher Louridas"
The Adam Project,3.5,3.07,0.43,05/13/2022,106,1:46,English,Shawn Levy,2022,"Adventure,Science Fiction",USA,41913,179069,"Ryan Reynolds,Walker Scobell,Mark Ruffalo,Jennifer Garner,Zoe Saldaña,Catherine Keener,Alex Mallari Jr.,Braxton Bjerken,Kasra Wong,Lucie Guest,Donald Sales,Esther Ming Li,Ben Wilkinson,Milo Shandel,Isaiah Haegert"
The Batman,4.0,4.07,-0.07,05/08/2022,177,2:57,English,Matt Reeves,2022,"Mystery,Thriller,Crime",USA,329850,1094978,"Robert Pattinson,Zoë Kravitz,Paul Dano,Jeffrey Wright,John Turturro,Peter Sarsgaard,Andy Serkis,Colin Farrell,Jayme Lawson,Gil Perez-Abraham,Peter McDonald,Con O'Neill,Alex Ferns,Rupert Penry-Jones,Charlie Carver,Max Carver,Barry Keoghan,Kosha Engler,Archie Barnes,Janine Harouni,Hana Hrzic,Joseph Walker,Luke Roberts,Oscar Novak,Stella Stocker,Sandra Dickinson,Jack Bennett,Andre Nightingale,Richard James-Neale,Lorraine Tai,Joseph Balderrama,James Eeles,Dave Simon"
Death on the Nile,3.5,2.76,0.74,05/08/2022,127,2:07,"English,French",Kenneth Branagh,2022,"Thriller,Crime,Mystery,Drama,Adventure,Action",UK,46442,168699,"Kenneth Branagh,Gal Gadot,Armie Hammer,Emma Mackey,Tom Bateman,Letitia Wright,Sophie Okonedo,Jennifer Saunders,Russell Brand,Annette Bening,Dawn French,Rose Leslie,Ali Fazal,Michael Rouse,Alaa Safi,Orlando Seale,Charlie Anson,Danny Hughes,Sam James Page,James Schofield"
Spider-Man: No Way Home,4.0,4.04,-0.04,05/13/2022,148,2:28,"English,Tagalog",Jon Watts,2021,"Action,Adventure,Science Fiction",USA,267542,1061949,"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau,Jamie Foxx,Willem Dafoe,Alfred Molina,Benedict Wong,Tony Revolori,Marisa Tomei,Andrew Garfield,Tobey Maguire,Angourie Rice,Arian Moayed,Paula Newsome,Hannibal Buress,Martin Starr,J.B. Smoove,J.K. Simmons,Rhys Ifans,Charlie Cox,Thomas Haden Church,Haroon Kahn"
The King's Man,3.5,2.83,0.67,05/08/2022,131,2:11,English,Matthew Vaughn,2021,"Adventure,War,Action,Mystery,Thriller",UK,37287,139794,"Ralph Fiennes,Harris Dickinson,Gemma Arterton,Rhys Ifans,Djimon Hounsou,Matthew Goode,Tom Hollander,Daniel Brühl,Charles Dance,Aaron Taylor-Johnson,Stanley Tucci,Robert Aramayo,Ross Anderson,Alexandra Maria Lara,Neil Jackson,Alison Steadman,Martin Razpopov,Olivier Richters,Branka Katić,Maja Simonsen,Stevee Davies,Connor Calland,Alexander Shaw,Bevan Viljoen,Shaun Scott,Andrew Bridgmont,Rosie Goddard,Valerie Pachner,Joel Basman,Todd Boyce,Ron Cook,Barbara Drennan,August Diehl,Nigel Lister,Ian Kelly,David Calvitto,Emun Elliott,David Kross,Katarina Martin,Kya Garwood"
Eternals,3.5,3.02,0.48,05/08/2022,156,2:36,"English,Arabic,Hindi,Latin,Spanish",Chloé Zhao,2021,"Science Fiction,Action,Adventure",Canada,115284,444358,"Gemma Chan,Richard Madden,Angelina Jolie,Kumail Nanjiani,Barry Keoghan,Lauren Ridloff,Lia McHugh,Brian Tyree Henry,Ma Dong-seok,Salma Hayek,Kit Harington,Harish Patel,David Kaye,Bill Skarsgård,Haaz Sleiman"
No Time to Die,4.0,3.51,0.49,10/13/2021,163,2:43,"English,French,Italian,Russian,Spanish",Cary Joji Fukunaga,2021,"Adventure,Thriller,Action",UK,81774,342919,"Daniel Craig,Léa Seydoux,Rami Malek,Lashana Lynch,Ana de Armas,Ralph Fiennes,Jeffrey Wright,Billy Magnussen,Ben Whishaw,Naomie Harris,Christoph Waltz,Rory Kinnear,David Dencik,Dali Benssalah,Lisa-Dorah Sonnet,Coline Defaud,Mathilde Bourbin,Hugh Dennis,Priyanga Burford,Joe Grossi,Nicola Olivieri,Pio Amato"
Shang-Chi and the Legend of the Ten Rings,3.5,3.65,-0.15,11/24/2021,132,2:12,"English,Chinese",Destin Daniel Cretton,2021,"Fantasy,Adventure,Action",USA,114439,537113,"Simu Liu,Tony Leung Chiu-wai,Awkwafina,Zhang Meng'er,Fala Chen,Michelle Yeoh,Yuen Wah,Ben Kingsley,Florian Munteanu,Andy Le,Paul He,Jayden Tianyi Zhang,Elodie Fong,Arnold Sun,Stephanie Hsu"
Toofaan,2.5,2.61,-0.11,07/17/2021,161,2:41,"Hindi,English",Rakeysh Omprakash Mehra,2021,Drama,India,291,1090,"Farhan Akhtar,Mrunal Thakur,Paresh Rawal,Hussain Dalal,Supriya Pathak,Mohan Agashe,Gauri Phulka,Deven Khote,Vijay Raaz,Darshan Kumaar,Sonali Kulkarni"
Black Widow,3.5,3.19,0.31,05/08/2022,134,2:14,"English,Russian",Cate Shortland,2021,"Action,Adventure,Science Fiction",USA,115039,557125,"Scarlett Johansson,Florence Pugh,Rachel Weisz,David Harbour,Ray Winstone,Olga Kurylenko,Ever Anderson,Violet McGraw,O.T. Fagbenle,William Hurt,Ryan Kiera Armstrong,Liani Samuel,Michelle Lee,Lewis Young,C.C. Smiff,Nanna Blondell,Simona Zivkovska,Erin Jameson,Shaina West,Yolanda Lynes,Claudia Heinz,Fatou Bah,Jade Ma,Jade Xu,Lucy-Jayne Murray,Lucy Cork,Eniko Fulop,Lauren Okadigbo,Agel Aurélia,Zhanè Samuels,Shawarah Battles,Tabby Bond,Madeleine Nicholls,Yasmin Riley,Fiona Griffiths,Georgia Curtis,Svetlana Constantine,Ione Butler"
Snake Eyes: G.I. Joe Origins,3.0,2.33,0.67,05/08/2022,121,2:01,"English,Arabic,Italian,Japanese",Robert Schwentke,2021,"Action,Adventure",Canada,9361,29815,"Henry Golding,Andrew Koji,Haruka Abe,Úrsula Corberó,Samara Weaving,Takehiro Hira,Eri Ishida,Iko Uwais,Peter Mensah,Steven Allerick,Simon Chin,Samuel Finzi,Shota Kakibata,Nicholas Dohy"
Tom Clancy's Without Remorse,3.5,2.63,0.87,07/15/2021,109,1:49,"English,Russian",Stefano Sollima,2021,"Thriller,Action",USA,8344,36787,"Michael B. Jordan,Jamie Bell,Guy Pearce,Jodie Turner-Smith,Lauren London,Brett Gelman,Jacob Scipio,Jack Kesy,Colman Domingo,Todd Lasance,Cam Gigandet,Luke Mitchell"
Mortal Kombat,3.0,2.54,0.46,07/15/2021,110,1:50,"English,Japanese,Chinese",Simon McQuoid,2021,"Fantasy,Adventure,Action",USA,39983,146432,"Lewis Tan,Jessica McNamee,Josh Lawson,Joe Taslim,Mehcad Brooks,Matilda Kimber,Laura Brent,Tadanobu Asano,Hiroyuki Sanada,Chin Han,Ludi Lin,Max Huang,Sisi Stringer"
Zack Snyder's Justice League,4.0,3.47,0.53,03/21/2021,242,4:02,English,Zack Snyder,2021,"Action,Adventure,Science Fiction,Fantasy",USA,67451,269082,"Ben Affleck,Henry Cavill,Gal Gadot,Jason Momoa,Ezra Miller,Ray Fisher,Amy Adams,Jeremy Irons,Connie Nielsen,Diane Lane,J.K. Simmons,Ciarán Hinds,Amber Heard,Joe Morton,Ray Porter,Jesse Eisenberg,Jared Leto,Willem Dafoe,Kiersey Clemons,Peter Guinness,Harry Lennix,Karen Bryson,Marc McClure,Sergi Constance,Michael McElhatton,Lara Decaro,Ryan Zheng Kai,David Thewlis,Samantha Win,Lisa Loven Kongsli,Julian Lewis Jones,John Dagleish,Francis Magee,Doutzen Kroes,Brooke Ence,Hari James,Ann Ogbomo,Russell Crowe,C. Amanda Maud,Ágústa Eva Erlendsdóttir,Björt Sigfinnsdóttir,Salome R. Gunnarsdottir,Kristbjörg Kjeld,Ingvar Sigurdsson,Védís Vífilsdóttir,Snæfríður Rán Aðalsteins,Charlotte Comer,Serene Angus"
