Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
The Flash,2.0,3.18,-1.18,05/30/2023,144,2:24,"English,Spanish,Russian",Andy Muschietti,2023,"Science Fiction,Adventure,Action",USA,40213,87967,"Ezra Miller,Sasha Calle,Michael Shannon,Ron Livingston,Maribel Verdú,Kiersey Clemons,Antje Traue,Michael Keaton,Ben Affleck,Ian Loh,Saoirse-Monica Jackson,Rudy Mancuso,Luke Brandon Field,Gal Gadot,Jeremy Irons"
Extraction 2,3.0,3.43,-0.43,06/03/2023,123,2:03,"English,Georgian",Sam Hargrave,2023,"Thriller,Action",Austria,7809,23604,"Chris Hemsworth,Golshifteh Farahani,Adam Bessa,Justin Howell,Olga Kurylenko,Tinatin Dalakishvili,Sinéad Phelps,Tornike Bziava,Patrick Newall,Idris Elba,Andro Jafaridze,Marta Kovziashvili,Miriam Kovziashvili,Daniel Bernhardt,Tornike Gogrichiani,Levan Saginashvili,George Lasha"
Arnold,2.5,3.73,-1.23,06/05/2023,192,3:12,"English,German",Lesley Chilcott,2023,Documentary,USA,846,3337,Arnold Schwarzenegger
The Boogeyman,2.5,2.89,-0.39,06/04/2023,99,1:39,English,Rob Savage,2023,"Horror,Fantasy,Mystery",USA,16211,37443,"Sophie Thatcher,Vivien Lyra Blair,Chris Messina,David Dastmalchian,Marin Ireland,Madison Hu,Maddie Nichols,Mabel Tyler,Leeann Ross,Rio Sarah Machado,Shauna Rappold,LisaGay Hamilton"
Spider-Man: Across the Spider-Verse,5.0,4.61,0.39,05/30/2023,140,2:20,"English,Hindi,Italian,Spanish",Joaquim Dos Santos,2023,"Animation,Science Fiction,Adventure,Action",USA,281328,621242,"Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,Jake Johnson,Oscar Isaac,Jason Schwartzman,Issa Rae,Daniel Kaluuya,Karan Soni,Shea Whigham,Greta Lee,Mahershala Ali,Amandla Stenberg,Jharrel Jerome,Andy Samberg,Jack Quaid,Rachel Dratch,Ziggy Marley,Jorma Taccone,J.K. Simmons,Donald Glover,Elizabeth Perkins,Kathryn Hahn,Ayo Edebiri,Nicole Delaney,Antonina Lentini,Atsuko Okatsuka,Peter Sohn,Melissa Sturm,Lorraine Velez,Nic Novicki,Taran Killam,Metro Boomin,Josh Keaton,Sofia Barclay,Danielle Perez,Yuri Lowenthal,Rita Rani Ahuja,Ismail Bashey,Oscar Camacho,Freddy Ferrari,Kerry Gutierrez,Kamal Khan,Angelo Sekou Kouyate"
Elemental,2.5,3.52,-1.02,06/16/2023,102,1:42,English,Peter Sohn,2023,"Animation,Science Fiction,Fantasy,Family,Comedy,Romance",USA,6646,13055,"Leah Lewis,Mamoudou Athie,Ronnie del Carmen,Shila Ommi,Wendi McLendon-Covey,Catherine O'Hara,Mason Wertheimer,Ronobir Lahiri,Wilma Bonet,Joe Pera,Matthew Yang King,Clara Lin Ding,Reagan To,Jeff Lapensee,Ben Morris,Jonathan Adams,Alex Kapp,P.L. Brown"
Transformers: Rise of the Beasts,2.5,3.04,-0.54,06/07/2023,127,2:07,"English,Quechua,Spanish",Steven Caple Jr.,2023,"Action,Adventure,Science Fiction",USA,24443,53746,"Anthony Ramos,Dominique Fishback,Peter Cullen,Ron Perlman,Peter Dinklage,Michelle Yeoh,Pete Davidson,Liza Koshy,Luna Lauren Velez,Dean Scott Vazquez,Tobe Nwigwe,Sarah Stiles,Leni Parker,Frank Marrs,Aidan Devine"
Anna Nicole Smith: You Don't Know Me,1.5,2.7,-1.2,05/26/2023,116,1:56,English,Ursula Macfarlane,2023,Documentary,USA,1138,3649,"Anna Nicole Smith,Marilyn Grabowski,Patrik Simpson,Pol Atteu,J.D. Ligier,Henley Mohrman,Daniel Smith,Howard K. Stern,Larry Birkhead"
Fast X,1.0,2.77,-1.77,05/15/2023,142,2:22,"English,Portuguese,Spanish,Italian",Louis Leterrier,2023,"Thriller,Action,Crime",USA,47633,106521,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Jason Momoa,Scott Eastwood,Daniela Melchior,Alan Ritchson,Helen Mirren,Brie Larson"
White Men Can't Jump,2.0,2.73,-0.73,05/07/2023,101,1:41,English,Calmatic,2023,"Drama,Comedy",USA,7866,19394,"Jack Harlow,Sinqua Walls,Laura Harrier,Teyana Taylor,Lance Reddick,Tamera Kissen,Andrew Schulz,Vince Staples,Myles Bullock,Aiden Shute,Zach Andrews,Zak Steiner,Phillip-Charlie Daniell,Arturo Castro"
The Mother,2.5,2.51,-0.01,05/18/2023,115,1:55,"English,Ukrainian",Niki Caro,2023,"Action,Thriller",USA,6387,21347,"Jennifer Lopez,Joseph Fiennes,Omari Hardwick,Gael García Bernal,Paul Raci,Lucy Paez,Fahim Fazli,Michael Karl Richards,Saif Mohsen,Yvonne Senat Jones,Jesse Garcia,Edie Falco"
