Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Parasite,4.58,133,2:13,"Korean,English,German",Bong Joon-ho,2019,"Comedy,Drama,Thriller",South Korea,184194,1434668,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam,Lee Jung-eun,Jang Hye-jin,Park Myung-hoon,Jung Ji-so,Jung Hyeon-jun,Park Keun-rok,Jung Yi-seo,Cho Jae-myung,Jeong Ik-han,Kim Gyu-baek,Ahn Seong-bong"
Come and See,4.58,142,2:22,"Russian,Belarusian,German",Elem Klimov,1985,"Drama,War,History",USSR,29290,120358,"Aleksei Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas,Jüri Lumiste,Viktors Lorencs,Kazimir Rabetsky,Yevgeni Tilicheyev,G. Velts,V. Vasilyev,Aleksandr Berda,Vasiliy Domrachyov,Nina Evdokimova,Igor Gnevashev"
Harakiri,4.55,135,2:15,Japanese,Masaki Kobayashi,1962,"History,Drama,Action",Japan,10019,53566,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurō Tamba,Masao Mishima,Ichirô Nakatani,Kei Satō,Yoshio Inaba,Hisashi Igawa,Tōru Takeuchi,Yoshirô Aoki,Tatsuo Matsumura,Akiji Kobayashi,Kôichi Hayashi"
A Dog's Will,4.54,104,1:44,Portuguese,Guel Arraes,2000,"Drama,Fantasy,Comedy",Brazil,4106,43091,"Matheus Nachtergaele,Selton Mello,Rogério Cardoso,Denise Fraga,Diogo Vilela,Luís Melo,Virginia Cavendish,Bruno Garcia,Enrique Díaz,Maurício Gonçalves,Aramis Trindade,Marco Nanini,Paulo Goulart,Lima Duarte,Fernanda Montenegro"
The Godfather,4.54,175,2:55,"English,Italian,Latin",Francis Ford Coppola,1972,"Crime,Drama",USA,64604,652400,"Marlon Brando,Al Pacino,James Caan,Robert Duvall,Richard S. Castellano,Diane Keaton,Talia Shire,Gianni Russo,Sterling Hayden,Al Lettieri,Abe Vigoda,John Cazale,Richard Conte,John Marley,Rudy Bond,Al Martino,Morgana King,Lenny Montana,John Martino,Alex Rocco,Salvatore Corsitto,Tony Giorgio,Victor Rendina"
The Godfather: Part II,4.53,202,3:22,"English,Italian,Latin,Spanish",Francis Ford Coppola,1974,"Drama,Crime",USA,29644,366280,"Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale,Talia Shire,Lee Strasberg,Michael V. Gazzo,G. D. Spradlin,Richard Bright,Gastone Moschin,Tom Rosqui,Bruno Kirby,Frank Sivero,Francesca De Sapio,Morgana King,Marianna Hill,Leopoldo Trieste,Dominic Chianese,Amerigo Tot,Troy Donahue,John Aprea,Joe Spinell,Abe Vigoda,Tere Livrano,Gianni Russo,Maria Carta,Oreste Baldini,Giuseppe Sillato,Mario Cotone,James Gounaris,Fay Spain,Harry Dean Stanton,David Baker"
The Human Condition III: A Soldier's Prayer,4.52,190,3:10,"Japanese,Chinese,Russian",Masaki Kobayashi,1961,"War,History,Drama",Japan,1791,9313,"Tatsuya Nakadai,Michiyo Aratama,Tamao Nakamura,Yūsuke Kawazu,Chishū Ryū,Taketoshi Naitô,Kyōko Kishida,Reiko Hitomi,Keijirô Morozumi,Koji Kiyomura,Nobuo Kaneko,Fujio Suga,Tatsuya Ishiguro,Kazuo Kitamura,Toshio Takahara,Akira Yamanouchi"
12 Angry Men,4.52,97,1:37,English,Sidney Lumet,1957,Drama,USA,34257,311521,"Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman,Edward Binns,Jack Warden,Henry Fonda,Joseph Sweeney,Ed Begley,George Voskovec,Robert Webber,Rudy Bond,Tom Gorman,James Kelly,Billy Nelson,John Savoca,Walter Stocker,John Gavin"
Seven Samurai,4.52,207,3:27,Japanese,Akira Kurosawa,1954,"Action,Drama",Japan,18795,145087,"Toshirō Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi,Minoru Chiaki,Daisuke Katō,Isao Kimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara,Yoshio Kosugi,Bokuzen Hidari,Yoshio Tsuchiya,Kokuten Kōdō,Eijirô Tôno,Jun Tatara,Atsushi Watanabe,Toranosuke Ogawa,Isao Yamagata,Kichijirô Ueda,Sôjin Kamiyama,Gen Shimizu,Keiji Sakakida,Shinpei Takagi,Shin Ôtomo,Toshio Takahara,Hiroshi Sugi,Hiroshi Hayashi,Sachio Sakai,Sôkichi Maki,Ichirô Chiba,Noriko Sengoku,Noriko Honma,Masanobu Ôkubo,Etsuo Saijo,Minoru Itô,Haruya Sakamoto,Gorô Sakurai,Hideo Shibuya,Kiyoshi Kamoda"
The Shawshank Redemption,4.48,142,2:22,English,Frank Darabont,1994,"Drama,Crime",USA,40380,661210,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann,John Horton,Gordon Greene,Alfonso Freeman,V.J. Foster,John E. Summers,Frank Medrano"
Spirited Away,4.47,125,2:05,Japanese,Hayao Miyazaki,2001,"Fantasy,Animation,Family",Japan,71457,816605,"Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naito,Yasuko Sawaguchi,Tatsuya Gashûin,Ryunosuke Kamiki,Yumi Tamai,Yo Oizumi,Koba Hayashi,Tsunehiko Kamijô,Takehiko Ono,Bunta Sugawara,Shigeru Wakita,Shiro Saito,Michiko Yamamoto,Keiko Tsukamoto,Akio Nakamura,Shinji Tokumaru"
High and Low,4.47,142,2:22,Japanese,Akira Kurosawa,1963,"Crime,Drama,Thriller,Mystery",Japan,10106,47899,"Toshirō Mifune,Tatsuya Nakadai,Kyōko Kagawa,Tatsuya Mihashi,Isao Kimura,Kenjirō Ishiyama,Takeshi Katō,Takashi Shimura,Jun Tazaki,Nobuo Nakamura,Yūnosuke Itō,Tsutomu Yamazaki,Minoru Chiaki,Eijirô Tôno,Masao Shimizu,Yutaka Sada,Masahiko Shimazu,Toshio Egi,Kōji Mitsui"
Everything Everywhere All at Once,4.47,140,2:20,"English,Cantonese,Chinese",Daniel Scheinert,2022,"Adventure,Action,Science Fiction",USA,258120,673087,"Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Jamie Lee Curtis,James Hong,Tallie Medel,Jenny Slate,Harry Shum Jr.,Biff Wiff,Anthony Molinari,Peter Banifaz,Audrey Wasilewski,Andy Le,Brian Le,Daniel Scheinert,Sunita Mani"
Spider-Man: Into the Spider-Verse,4.44,117,1:57,"English,Japanese,Spanish",Rodney Rothman,2018,"Action,Adventure,Animation,Science Fiction",USA,127437,1092068,"Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry,Lily Tomlin,Lauren Vélez,Zoë Kravitz,John Mulaney,Kimiko Glenn,Nicolas Cage,Kathryn Hahn,Liev Schreiber,Chris Pine,Natalie Morales,Edwin H. Bravo,Oscar Isaac,Greta Lee,Stan Lee,Jorma Taccone,Joaquín Cosío,Marvin 'Krondon' Jones III,Kim Yarbrough,Lake Bell,Jessica Mikayla Adams,Gredel Berrios Calladine,Sarah D. Cole,Kelby Joseph,Mimi Davila,Claudia Choi"
The Dark Knight,4.44,152,2:32,"English,Chinese",Christopher Nolan,2008,"Action,Thriller,Drama,Crime",UK,77429,1124832,"Christian Bale,Heath Ledger,Michael Caine,Gary Oldman,Aaron Eckhart,Maggie Gyllenhaal,Morgan Freeman,Nestor Carbonell,Monique Gabriela Curnen,Ron Dean,Chin Han,Eric Roberts,Ritchie Coster,Anthony Michael Hall,Keith Szarabajka,Joshua Harto,Melinda McGraw,Nathan Gamble,Michael Jai White,Colin McFarlane,Nydia Rodriguez Terracina,Tom 'Tiny' Lister Jr.,William Fichtner,Cillian Murphy,Patrick Leahy,Matt Skiba,David Dastmalchian,Michael Vieau,Michael Stoyanov,William Smillie,Danny Goldring,Matthew O'Neill,Olumiji Olawumi,Greg Beam,Erik Hellman,Beatrice Rosen,Vincenzo Nicoli,Edison Chen,Andy Luther,James Farruggio,Tom McElroy,Will Zahrn,James Fierro,Sam Derence,Jennifer Knox,Patrick Clear,Sarah Jayne Dunn,Charles Venn,Winston Ellis,Sophia Hinshelwood,Keith Kupferer,Joseph Luis Caballero,Richard Dillane,Daryl Satcher"
A Brighter Summer Day,4.44,237,3:57,Chinese,Edward Yang,1991,"Drama,Romance,Crime",Taiwan,7598,31173,"Chang Chen,Lisa Yang,Chang Kuo-Chu,Elaine Jin,Chuan Wang,Chang Han,Chiang Hsiu-Chiung,Stephanie Lai,Wang Chi-tsan,Lawrence Ko,Tan Chih-Kang"
Yi Yi,4.44,174,2:54,"Chinese,English,Japanese",Edward Yang,2000,"Romance,Drama",Taiwan,11608,49555,"Wu Nien-Jen,Kelly Lee,Elaine Jin,Jonathan Chang,Shu-shen Hsiao,Issey Ogata,Hsi-Sheng Chen,Adriene Lin,Chen Yiwen,Lawrence Ko,Kelly Ko,Ru-Yun Tang,Shu-Yuan Hsu"
Central Station,4.43,110,1:50,Portuguese,Walter Salles,1998,Drama,Brazil,5454,35938,"Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Othon Bastos,Otávio Augusto,Matheus Nachtergaele,Caio Junqueira,Stela Freitas,Maria Menezes,Sergio Kato,Soia Lira,Rita Assemany"
GoodFellas,4.43,145,2:25,"English,Italian",Martin Scorsese,1990,"Drama,Crime",USA,57080,548677,"Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Henny Youngman,Gina Mastrogiacomo,Catherine Scorsese,Charles Scorsese,Suzanne Shepherd,Debi Mazar,Margo Winkler,Welker White,Jerry Vale,Julie Garfield,Christopher Serrone,Elaine Kagan,Beau Starr,Kevin Corrigan,Michael Imperioli,Robbie Vinton,Johnny Williams,Daniel P. Conte,Tony Conforti,Frank Pellegrino,Ronald Maccone,Tony Sirico,Joseph D'Onofrio,Steve Forleo,Richard Dioguardi,Frank Adonis,John Manca,Joseph Bono,Katherine Wallach,Mark Evan Jacobs,Angela Pietropinto,Marianne Leone Cooper,Marie Michaels,LoNardo,Melissa Prophet,Illeana Douglas,Susan Varon,Elizabeth Whitcraft,Clem Caserta,Samuel L. Jackson,Fran McGee,Paul Herman,Edward McDonald,Edward Hayes"
The Human Condition I: No Greater Love,4.43,206,3:26,"Japanese,Chinese",Masaki Kobayashi,1959,"Drama,War,History",Japan,2296,12402,"Tatsuya Nakadai,Michiyo Aratama,Chikage Awashima,Ineko Arima,Sō Yamamura,Akira Ishihama,Kôji Nanbara,Seiji Miyaguchi,Tōru Abe,Masao Mishima,Eitarō Ozawa,Kōji Mitsui,Akitake Kôno,Nobuo Nakamura,Kyū Sazanka,Eijirô Tôno,Shinsuke Ashida,Keiji Sada"
Schindler's List,4.43,195,3:15,"English,German,Polish,Hebrew (modern)",Steven Spielberg,1993,"War,Drama,History",USA,18362,377357,"Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Malgorzata Gebel,Mark Ivanir,Béatrice Macola,Andrzej Seweryn,Friedrich von Thun,Jerzy Nowak,Norbert Weisser,Anna Mucha,Adi Nitzan,Piotr Polk,Rami Heuberger,Ezra Dagan,Elina Löwensohn,Hans-Jörg Assmann,Hans-Michael Rehberg,August Schmölzer,Daniel Del-Ponte,Ludger Pistor,Oliwia Dabrowska,Shmuel Levy,Krzysztof Luft,Harry Nehring,Michael Schneider,Miri Fabian,Albert Misak,Aldona Grochal,Jacek Wójcicki,Beata Paluch,Uri Avrahami,Magdalena Komornicka,Michael Gordon,Beata Deskur,Leopold Kozlowski,Magdalena Dandourian,Shabtai Konorti,Henryk Bista,Tadeusz Bradecki,Wojciech Klata,Ewa Kolasińska,Bettina Kupfer,Grzegorz Kwas,Vili Matula,Stanislaw Koczanowicz,Geno Lechner,Beata Rybotycka,Branko Lustig,Artus-Maria Matthiessen,Eugeniusz Priwieziencew,Michael Z. Hoffmann,Erwin Leder"
Portrait of a Lady on Fire,4.42,120,2:00,"French,Italian",Céline Sciamma,2019,"Drama,Romance",France,91568,373960,"Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,Christel Baras,Armande Boulanger,Guy Delamarche,Clément Bouyssou,Michèle Clément,Cécile Morel"
Neon Genesis Evangelion: The End of Evangelion,4.42,87,1:27,Japanese,Hideaki Anno,1997,"Animation,Science Fiction,Drama,Action",Japan,26912,135260,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Yuko Miyamura,Fumihiko Tachiki,Miki Nagasawa,Takehito Koyasu,Hiro Yuuki,Yuriko Yamaguchi,Motomu Kiyokawa,Akira Ishida,Mugihito"
City of God,4.42,130,2:10,Portuguese,Fernando Meirelles,2002,"Crime,Drama",Brazil,19381,248126,"Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Matheus Nachtergaele,Seu Jorge,Jefechander Suplino,Alice Braga,Roberta Rodrigues,Luis Otávio,Darlan Cunha"
The Lord of the Rings: The Return of the King,4.42,201,3:21,English,Peter Jackson,2003,"Fantasy,Adventure,Action",New Zealand,41333,568707,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen,Sean Astin,Cate Blanchett,John Rhys-Davies,Bernard Hill,Christopher Lee,Billy Boyd,Dominic Monaghan,Orlando Bloom,Hugo Weaving,Miranda Otto,David Wenham,Brad Dourif,Karl Urban,John Noble,Andy Serkis,Ian Holm,Sean Bean,Lawrence Makoare,Marton Csokas,Paul Norell,Alan Howard,Noel Appleby,Ali Astin,David Aston,John Bach,Sadwyn Brophy,Alistair Browning"
Ikiru,4.41,143,2:23,Japanese,Akira Kurosawa,1952,Drama,Japan,9733,55354,"Takashi Shimura,Haruo Tanaka,Nobuo Kaneko,Bokuzen Hidari,Miki Odagiri,Shinichi Himori,Minoru Chiaki,Minosuke Yamada,Kamatari Fujiwara,Makoto Kobori,Nobuo Nakamura,Atsushi Watanabe,Isao Kimura,Masao Shimizu,Yūnosuke Itō,Yoshie Minami,Kumeko Urabe,Eiko Miyoshi,Noriko Honma,Yatsuko Tan'ami,Kin Sugai,Kyôko Seki,Kusuo Abe,Tomo'o Nagai,Seiji Miyaguchi"
"The Good, the Bad and the Ugly",4.4,161,2:41,Italian,Sergio Leone,1966,Western,USA,19778,207676,"Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli,Rada Rassimov,Enzo Petito,Claudio Scarchilli,Antonio Casale,Livio Lorenzon,Sandro Scarchilli,Benito Stefanelli,Angelo Novi,Antonio Casas,Aldo Sambrell,Al Mulock,Sergio Mendizábal,Antonio Molino Rojo,Lorenzo Robledo"
The Empire Strikes Back,4.4,124,2:04,English,Irvin Kershner,1980,"Science Fiction,Adventure,Action",USA,48876,654924,"Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,David Prowse,Peter Mayhew,Kenny Baker,Frank Oz,Alec Guinness,Jeremy Bulloch,Jason Wingreen,John Hollis,Jack Purvis,Des Webb,Kathryn Mullen,Marjorie Eaton,Clive Revill,Kenneth Colley,Julian Glover,Michael Sheard,Michael Culver,John Dicks,Milton Johns,Mark Jones,Oliver Maguire,Robin Scobey,Bruce Boa,Christopher Malcolm,Denis Lawson"
La Haine,4.39,98,1:38,French,Mathieu Kassovitz,1995,Drama,France,28430,176967,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Souleymane Dicko,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour,Abdel-Moulah Boujdouni,Mathilde Vitry,Christian Moro,Edouard Montoute,JiBi,Félicité Wouassi"
There Will Be Blood,4.39,158,2:38,English,Paul Thomas Anderson,2007,Drama,USA,54051,398918,"Daniel Day-Lewis,Paul Dano,Kevin J. O'Connor,Ciarán Hinds,Dillon Freasier,Hope Elizabeth Reeves,Colleen Foy,Barry Del Sherman,David Willis,Hans Howes,Sydney McCallister,Paul F. Tompkins,Kevin Breznahan,Jim Meskimen"
Whiplash,4.39,107,1:47,English,Damien Chazelle,2014,"Drama,Music",USA,108721,883825,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell,Chris Mulkey,Nate Lang,Charlie Ian,Jayson Blair,Kavita Patil,Damon Gupton,Suanne Spoke,Max Kasch,Kofi Siriboe,C.J. Vana,Tarik Lowe,Tyler Kimball,Rogelio Douglas Jr."
Stalker,4.38,162,2:42,Russian,Andrei Tarkovsky,1979,"Science Fiction,Drama",USSR,23333,128719,"Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,Alisa Freyndlikh,Natasha Abramova,Faime Jurno,Evgeniy Kostin,Raymo Rendi"
Ran,4.37,160,2:40,Japanese,Akira Kurosawa,1985,"Drama,History,Action",Japan,10861,70967,"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,Mieko Harada,Yoshiko Miyazaki,Mansai Nomura,Hisashi Igawa,Shinnosuke Ikehata,Masayuki Yui,Kazuo Katô,Norio Matsui"
The Handmaiden,4.37,145,2:25,"Korean,Japanese",Park Chan-wook,2016,"Romance,Thriller,Drama",South Korea,48965,258590,"Kim Min-hee,Kim Tae-ri,Ha Jung-woo,Cho Jin-woong,Kim Hae-sook,Moon So-ri,Lee Yong-nyeo,Kwak Eun-jin,Lee Dong-hwi,Jo Eun-hyung,Rina Takagi,Han Ha-na,Lee Kyu-jung"
Perfect Blue,4.37,81,1:21,Japanese,Satoshi Kon,1997,"Animation,Thriller",Japan,45400,247566,"Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura,Yousuke Akimoto,Yoku Shioya,Hideyuki Hori,Emi Shinohara,Masashi Ebara,Kiyoyuki Yanada,Tōru Furusawa"
Grave of the Fireflies,4.37,89,1:29,Japanese,Isao Takahata,1988,"War,Drama,Animation",Japan,26455,210705,"Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara,Akemi Yamaguchi,Justin Doran"
Persona,4.37,83,1:23,Swedish,Ingmar Bergman,1966,Drama,Sweden,27502,145579,"Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,Jörgen Lindström"
In the Mood for Love,4.36,99,1:39,"Cantonese,French,Spanish",Wong Kar-wai,2000,"Drama,Romance",France,51179,238646,"Tony Leung Chiu-wai,Maggie Cheung,Rebecca Pan,Kelly Lai Chen,Siu Ping-lam,Mama Hung,Joe Cheung Tung-Cho,Kam-Wah Koo,Chan Man-Lei,Paulyn Sun,Roy Cheung"
Sunset Boulevard,4.36,110,1:50,English,Billy Wilder,1950,Drama,USA,18700,127142,"William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,Fred Clark,Lloyd Gough,Jack Webb,Franklyn Farnum,Larry J. Blake,Charles Dayton,Cecil B. DeMille,Hedda Hopper,Buster Keaton,Anna Q. Nilsson,H.B. Warner,Ray Evans,Jay Livingston,Fred Aldrich,Joel Allen,Gertrude Astor,Anne Bauchens,Edward Biby,Danny Borzage,Ken Christy,Ruth Clifford,John Cortay,Archie R. Dalzell,Eddie Dew"
Apocalypse Now,4.36,147,2:27,"English,Khmer,French,Vietnamese",Francis Ford Coppola,1979,"War,Drama",USA,33533,309069,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Laurence Fishburne,Albert Hall,Sam Bottoms,Dennis Hopper,G. D. Spradlin,Harrison Ford,Jerry Ziesmer,Scott Glenn,James Keane,Kerry Rossall,Tom Mason"
