Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
The Fan,3.61,92,1:32,German,Eckhart Schmidt,1982,"Horror,Drama",Germany,1336,5276,"Désirée Nosbusch,Bodo Staiger,Simone Brahmann,Jonas Vischer,Helga Tölle,Klaus Münster,Wilfried Blasberg,Sabine Kückelmann,Ian Moorse,Nikolai Hoffmann,Michael Fluehme,Oliver Betz,Christian Simon,Joachim Fuchsberger,Thomas Fuchsberger,Alexandra Beau,Susi Hermann"
Mad Max: Fury Road,4.13,121,2:01,English,George Miller,2015,"Adventure,Science Fiction,Action",Australia,71770,849355,"Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Zoë Kravitz,Riley Keough,Rosie Huntington-Whiteley,Abbey Lee,Courtney Eaton,Josh Helman,Nathan Jones,John Howard,Richard Carter,Iota,Angus Sampson,Jennifer Hagan,Megan Gale,Melissa Jaffer,Melita Jurišić,Gillian Jones,Joy Smithers,Antoinette Kellerman,Christina Koch,Jon Iles"
Suspiria,3.96,99,1:39,"Italian,German,English,Latin",Dario Argento,1977,Horror,Italy,48411,230578,"Jessica Harper,Stefania Casini,Flavio Bucci,Miguel Bosé,Barbara Magnolfi,Susanna Javicoli,Eva Axén,Rudolf Schündler,Udo Kier,Alida Valli,Joan Bennett,Margherita Horowitz"
Lost in Translation,3.85,102,1:42,"English,Japanese",Sofia Coppola,2003,"Comedy,Romance,Drama",Japan,53332,479922,"Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris,Akiko Takeshita,Fumihiro Hayashi,Kazuyoshi Minamimagoe,Kazuko Shibata,Take,Daikon,Catherine Lambert,Akiko Monô,Françoise Dubois,Gregory Pekar,Ikuko Takahashi,Osamu Shigematu,Takashi Fujii,Lisle Wilkerson,Kazuo Yamada,Akira Yamaguchi"
Akira,4.22,124,2:04,Japanese,Katsuhiro Otomo,1988,"Science Fiction,Action,Animation",Japan,40666,300917,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tessyo Genda,Koichi Kitamura,Yuriko Fuchizaki,Masaaki Okura,Takeshi Kusao,Kazuhiro Kamifuji,Tatsuhiko Nakamura,Fukue Itô,Yuka Ôno,Hiroshi Ôtake,Kazumi Tanaka,Masato Hirano,Masayuki Katô,Michihiro Ikemizu,Tarô Arakawa"
Things to Come,3.68,102,1:42,"French,German,English",Mia Hansen-Løve,2016,Drama,Germany,3085,17961,"Isabelle Huppert,André Marcon,Roman Kolinka,Edith Scob,Sarah Le Picard,Solal Forte,Élise Lhomeau,Lionel Dray,Yves Heck,Grégoire Montana-Haroche,Lina Benzerti,Guy-Patrick Sainderichin,Rachel Arditi,Charline Bourgeois-Tacquet"
Big Trouble in Little China,3.72,99,1:39,"English,Cantonese",John Carpenter,1986,"Action,Comedy,Adventure,Fantasy",USA,17185,111840,"Kurt Russell,Kim Cattrall,Dennis Dun,James Hong,Victor Wong,Kate Burton,Donald Li,Carter Wong,Peter Kwong,James Pax,Suzee Pai,Chi Chaoli,Jeff Imada,Rummel Mor,Craig Ng,June Kyoto Lu,Noel Toy,Jade Go,Jerry Hardin,James Lew,Jim Lau"
Star Wars,4.2,121,2:01,English,George Lucas,1977,"Adventure,Action,Science Fiction",USA,68210,878123,"Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Kenny Baker,Peter Mayhew,David Prowse,James Earl Jones,Phil Brown,Shelagh Fraser,Jack Purvis,Alex McCrindle,Eddie Byrne,Drewe Henley,Denis Lawson,Garrick Hagon,Jack Klaff,William Hootkins,Angus MacInnes,Jeremy Sinden,Graham Ashley,Don Henderson,Richard LeParmentier,Leslie Schofield,Michael Leader,David Ankrum,Scott Beach,Lightning Bear,Jon Berg,Doug Beswick,Paul Blake,Janice Burchette,Ted Burnett,John Chapman,Gilda Cohen,Tim Condren,Barry Copping,Alfie Curtis,Robert Davies,Maria De Aragon"
The Third Man,4.19,104,1:44,"English,Russian,German",Carol Reed,1949,"Thriller,Mystery",UK,13040,88605,"Joseph Cotten,Alida Valli,Orson Welles,Trevor Howard,Paul Hörbiger,Ernst Deutsch,Erich Ponto,Siegfried Breuer,Hedwig Bleibtreu,Bernard Lee,Wilfrid Hyde-White,Alexis Chesnakov,Thomas Gallagher,Herbert Halbik"
The Big Sick,3.76,120,2:00,"English,Urdu",Michael Showalter,2017,"Comedy,Drama,Romance",USA,20645,185487,"Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano,Anupam Kher,Zenobia Shroff,Adeel Akhtar,Bo Burnham,Aidy Bryant,Kurt Braunohler,Vella Lovell,Myra Lucretia Taylor,Jeremy Shamos,David Alan Grier,Ed Herbstman,Shenaz Treasury,Rebecca Naomi Jones,Kuhoo Verma"
Jodorowsky's Dune,3.89,90,1:30,"English,German,Spanish,French",Frank Pavich,2013,Documentary,France,5865,34543,"Alejandro Jodorowsky,H. R. Giger,Brontis Jodorowsky,Nicolas Winding Refn,Amanda Lear,Richard Stanley,Devin Faraci,Michel Seydoux,Chris Foss,Drew McWeeny,Gary Kurtz,Diane O'Bannon"
Get Out,4.2,104,1:44,English,Jordan Peele,2017,"Thriller,Horror,Mystery",USA,113601,1401685,"Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones,Marcus Henderson,Betty Gabriel,Lakeith Stanfield,Stephen Root,Lil Rel Howery,Ashley LeConte Campbell,John Wilmot"
Lawrence of Arabia,4.24,228,3:48,"English,Arabic,Turkish",David Lean,1962,"Adventure,War,Drama,History",UK,14658,114521,"Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif,José Ferrer,Anthony Quayle,Claude Rains,Arthur Kennedy,Donald Wolfit,I.S. Johar,Gamil Ratib,Michel Ray,John Dimech,Zia Mohyeddin,Howard Marion-Crawford,Jack Gwillim,Hugh Miller,John Barry,Bruce Beeby,Fred Bennett,John Bennett,Steve Birtles"
Free Fire,3.19,90,1:30,English,Ben Wheatley,2016,"Mystery,Action,Crime",UK,11488,59526,"Brie Larson,Sharlto Copley,Armie Hammer,Cillian Murphy,Jack Reynor,Sam Riley,Michael Smiley,Noah Taylor,Babou Ceesay,Enzo Cilenti,Patrick Bergin,Tom Davis,Mark Monero,Sara Dee"
