Movie,LBRating,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings,Actors
Den of Thieves,3.15,140,2:20,English,Christian Gudegast,2018,"Crime,Thriller,Action",USA,6713,34787,"Gerard Butler,Dawn Olivieri,O'Shea Jackson Jr.,Pablo Schreiber,50 Cent,Evan Jones,Cooper Andrews,Maurice Compte,Kaiwi Lyman,Mo McRae,Meadow Williams,Eric Braeden,Brian Van Holt,Max Holloway,Jay Dobyns,Steve Eifert"
Slap Shot,3.54,123,2:03,English,George Roy Hill,1977,"Comedy,Drama",USA,1601,12465,"Paul Newman,Strother Martin,Michael Ontkean,Jennifer Warren,Lindsay Crouse,Jerry Houser,Andrew Duncan,Jeff Carlson,Steve Carlson,David Hanson,Yvon Barrette,Allan F. Nicholls,Brad Sullivan"
The Verdict,3.88,129,2:09,English,Sidney Lumet,1982,Drama,USA,2341,17873,"Paul Newman,Charlotte Rampling,Jack Warden,James Mason,Milo O’Shea,Lindsay Crouse,Edward Binns,Julie Bovasso,Roxanne Hart,James Handy,Wesley Addy,Joe Seneca,Lewis J. Stadlen,Kent Broadhurst,Colin Stinton,Burtt Harris"
Traffic,3.61,147,2:27,"English,Spanish",Steven Soderbergh,2000,"Drama,Thriller,Crime",Germany,2655,41496,"Michael Douglas,Benicio del Toro,Catherine Zeta-Jones,Don Cheadle,Erika Christensen,Jacob Vargas,Luis Guzmán,Miguel Ferrer,Topher Grace,Dennis Quaid,Steven Bauer,Albert Finney,James Brolin,Tomas Milian,Clifton Collins Jr.,Enrique Murciano,D.W. Moffett,Amy Irving,Peter Riegert,Benjamin Bratt,Yul Vazquez,Majandra Delfino,Alec Roberts,James Pickens Jr.,Viola Davis,Andrew Chavez,Michael Saucedo,Jose Yenque,Emilio Rivera,Michael O'Neill,Russell G. Jones,Lorene Hetherington,Eric Collins,Beau Holden,Peter Stader,James Lew,Jeremy Fitzgerald,Russell Solberg,Don Snell,Gary Carlos Cervantes,Leticia Bombardier,Carl Ciarfalio,Steven Lambert,Gilbert Rosales,Rick Avery,Mario Roberts,Eileen Weisinger,Keii Johnston,Mike Watson,Kurt D. Lott,Lincoln Simonds,Steve Tomaski,Buck McDancer,John Callery,Ousaun Elam,Brian Avery"
The Firm,3.3,155,2:35,English,Sydney Pollack,1993,"Thriller,Mystery,Drama",USA,4272,36561,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,Terry Kinney,Wilford Brimley,Ed Harris,Holly Hunter,David Strathairn,Gary Busey,Steven Hill,Tobin Bell"
Vanilla Sky,3.34,136,2:16,English,Cameron Crowe,2001,"Romance,Science Fiction,Thriller",USA,7095,75289,"Tom Cruise,Penélope Cruz,Cameron Diaz,Kurt Russell,Jason Lee,Noah Taylor,Timothy Spall,Tilda Swinton,Michael Shannon,Delaina Mitchell,Shalom Harlow,Oona Hart,Ivana Miličević,Johnny Galecki,Jhaemi Willens,Armand Schultz,Cameron Watson,Robertson Dean,W. Earl Brown,Ray Proscia,Tim Hopper,Alicia Witt,Ken Leung,Carolyn Byrne,Mark Pinter,Jeff Weiss,Conan O'Brien,James Murtaugh,Mark Kozelek,John Fedevich,Bobby Walsh,Stacey Sher,Fred Schruers,Jessica Siemens,Julia Carothers Hughes,Holly Raye,Marty Collins"
Jerry Maguire,3.52,138,2:18,English,Cameron Crowe,1996,"Comedy,Drama,Romance",USA,8464,82248,"Tom Cruise,Renée Zellweger,Cuba Gooding Jr.,Kelly Preston,Jerry O'Connell,Jay Mohr,Regina King,Bonnie Hunt,Jonathan Lipnicki,Todd Louiso,Mark Pellington,Jeremy Suarez,Jared Jussim,Benjamin Kimball Smith,Ingrid Beer,Jann Wenner,Nada Despotovich,Alexandra Wentworth,Aries Spears,Kelly Coffield Park,Alice Marie Crowe,Larina Adamson,Winnie Holzman,Diana Jordan,Susan Norfleet,Susan Pingleton,Cha-Cha Sandoval,Hynden Walch,Glenn Frey,Donal Logue,Tom Gallop,Beaumont Bacon,Lisa Amsterdam,Angela Goethals,Leslie Upson,Rick Johnson,Lightfield Lewis,Jerry Cantrell,Toby Huss,Drake Bell,Christine Cavanaugh,Russel Lunday,Eric Stoltz,Lamont Johnson,Brent Barry,Charlie Cronin,Theo Greenly,Rod Tate,Danny Rimmer,Michael James Johnson,Jordan Ross,Brandon Christianson"
Minority Report,3.67,145,2:25,"English,Swedish",Steven Spielberg,2002,"Action,Science Fiction,Mystery,Thriller",USA,12907,173572,"Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,Peter Stormare,Tim Blake Nelson,Kathryn Morris,Neal McDonough,Steve Harris,Lois Smith,Mike Binder,Daniel London,Jessica Capshaw,Patrick Kilpatrick,Jessica Harper,Ashley Crow,Arye Gross,Fiona Hale,George Wallace,Frank Grillo,William Mapother,Jason Antoon,Vanessa Asbert,Tyler Patrick Jones,Richard Coca,Keith Campbell,Kirk B.R. Woller,Klea Scott,Anna Maria Horsford,Sarah Simmons,Eugene Osment,James Henderson,Vene L. Arcoraci,Erica Ford,Keith Flippen,Radmar Agana Jao,Karina Logue,Elizabeth Anne Smith,Victoria Garcia-Kelleher,Jim Rash,Stephen Ramsey,Tom Choi,Tom Whitenight"
THX 1138,3.36,86,1:26,English,George Lucas,1971,"Action,Drama,Science Fiction",USA,4478,25289,"Robert Duvall,Donald Pleasence,Don Pedro Colley,Maggie McOmie,Ian Wolfe,Marshall Efron,Sid Haig,John Pearce,Irene Cagen,Gary Alan Marsh,John Seaton,Eugene I. Stillman,Jack Walsh,Mark Lawhead,Robert Feero,Johnny Weissmuller Jr.,Claudette Bessing,Susan Stroh"
Who Framed Roger Rabbit,3.88,104,1:44,English,Robert Zemeckis,1988,"Crime,Fantasy,Comedy,Family,Animation",USA,12867,146306,"Bob Hoskins,Charles Fleischer,Christopher Lloyd,Joanna Cassidy,Kathleen Turner,Stubby Kaye,Alan Tilvern,Richard LeParmentier,Lou Hirsch,Betsy Brantley,Mel Blanc,Mae Questel,Richard Williams,Wayne Allwine,Frank Welker,Mickie McGowan,Jack Angel,Nancy Cartwright,June Foray,Joel Silver"
