Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Chungking Express,5.0,4.26,0.74,04/11/2021,103,1:43,"Cantonese,English,Japanese,Hindi,Chinese,Eastern Punjabi, Eastern Panjabi",Wong Kar-wai,1994,"Romance,Comedy,Drama",Hong Kong,34136,154351
Neon Genesis Evangelion: The End of Evangelion,4.5,4.41,0.09,08/07/2021,87,1:27,Japanese,Hideaki Anno,1997,"Animation,Science Fiction,Drama,Action",Japan,20630,102043
Schindler's List,4.5,4.42,0.08,07/16/2021,195,3:15,"English,German,Polish,Hebrew (modern)",Steven Spielberg,1993,"War,Drama,History",USA,14613,313988
Lawrence of Arabia,4.5,4.24,0.26,06/13/2021,228,3:48,"English,Arabic,Turkish",David Lean,1962,"Adventure,War,Drama,History",UK,9598,85156
Licorice Pizza,4.5,3.86,0.64,12/28/2021,133,2:13,"English,Japanese,Spanish",Paul Thomas Anderson,2021,"Comedy,Drama",Canada,73859,181861
Malcolm X,4.5,4.1,0.40,08/21/2021,202,3:22,"English,Arabic",Spike Lee,1992,"History,Drama",USA,7058,51747
A Brighter Summer Day,4.5,4.45,0.05,06/29/2021,237,3:57,Chinese,Edward Yang,1991,"Drama,Romance,Crime",Taiwan,6340,26366
In the Mood for Love,4.5,4.37,0.13,04/16/2021,99,1:39,"Cantonese,French,Spanish",Wong Kar-wai,2000,"Drama,Romance",China,38979,190017
The Thing,4.5,4.31,0.19,10/09/2021,109,1:49,"English,Norwegian",John Carpenter,1982,"Science Fiction,Horror,Mystery",USA,41805,280258
The French Dispatch,4.5,3.8,0.70,11/03/2021,108,1:48,"English,French",Wes Anderson,2021,"Drama,Romance,Comedy",Germany,87194,276836
Dune,4.5,4.02,0.48,10/28/2021,155,2:35,"English,Chinese",Denis Villeneuve,2021,"Science Fiction,Adventure",USA,177206,599714
The Tree of Life,4.5,3.8,0.70,09/03/2021,139,2:19,English,Terrence Malick,2011,"Drama,Fantasy",USA,17403,121203
Brief Encounter,4.5,4.22,0.28,07/30/2021,86,1:26,English,David Lean,1945,"Romance,Drama",UK,6723,31659
Memories of Murder,4.0,4.29,-0.29,02/14/2021,131,2:11,"Korean,English",Bong Joon-ho,2003,"Crime,Drama,Thriller",South Korea,27380,166213
Everybody Wants Some!!,4.0,3.6,0.40,04/18/2021,116,1:56,English,Richard Linklater,2016,Comedy,USA,10263,55991
Manhunter,4.0,3.8,0.20,04/17/2021,122,2:02,English,Michael Mann,1986,"Crime,Thriller,Horror",USA,10183,49772
Can't Get You Out of My Head,4.0,4.25,-0.25,03/26/2021,480,8:00,"English,Chinese",Adam Curtis,2021,Documentary,UK,2200,5878
The Girl with the Dragon Tattoo,4.0,3.8,0.20,02/26/2021,158,2:38,English,David Fincher,2011,"Thriller,Crime,Mystery",USA,20332,212316
Magnolia,4.0,4.14,-0.14,02/23/2021,189,3:09,"English,French,German",Paul Thomas Anderson,1999,Drama,USA,26256,167687
Rebel Without a Cause,4.0,3.8,0.20,11/06/2021,111,1:51,English,Nicholas Ray,1955,Drama,USA,8397,65466
Badlands,4.0,4.01,-0.01,08/27/2021,93,1:33,"English,Spanish",Terrence Malick,1973,"Drama,Crime",USA,12338,73750
Spider-Man: No Way Home,4.0,4.21,-0.21,12/18/2021,148,2:28,"English,Tagalog",Jon Watts,2021,"Action,Adventure,Science Fiction",USA,203705,603325
The Power of the Dog,4.0,3.74,0.26,12/09/2021,127,2:07,English,Jane Campion,2021,"Drama,Western",Australia,59341,209420
Treasure Planet,4.0,3.67,0.33,11/26/2021,95,1:35,English,Ron Clements,2002,"Family,Animation,Science Fiction,Adventure,Fantasy",USA,8620,89187
Over the Garden Wall,4.0,4.58,-0.58,09/29/2021,109,1:49,English,Nate Cash,2014,"Animation,Mystery,Family,Comedy",USA,15955,79655
Shiva Baby,4.0,3.87,0.13,06/12/2021,78,1:18,"English,Hebrew (modern)",Emma Seligman,2020,"Comedy,Drama",USA,45034,126653
The Third Man,4.0,4.21,-0.21,07/24/2021,104,1:44,"English,Russian,German",Carol Reed,1949,"Thriller,Mystery",UK,9345,69597
Scenes from a Marriage,4.0,4.15,-0.15,09/19/2021,300,5:00,English,Hagai Levi,2021,Drama,Sweden,5617,15297
Another Round,4.0,4.01,-0.01,03/17/2021,117,1:57,"Danish,Swedish",Thomas Vinterberg,2020,"Comedy,Drama",Denmark,50039,209464
Skyfall,4.0,3.8,0.20,02/11/2021,143,2:23,English,Sam Mendes,2012,"Action,Thriller,Adventure",UK,24385,315599
Ikiru,4.0,4.41,-0.41,03/14/2021,143,2:23,Japanese,Akira Kurosawa,1952,Drama,Japan,7965,46859
Sorcerer,4.0,4.13,-0.13,07/13/2021,122,2:02,"English,German,French,Spanish",William Friedkin,1977,"Adventure,Thriller",USA,6871,29070
