Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
The Godfather,5.0,4.54,0.46,06/08/2020,175,2:55,"English,Italian,Latin",Francis Ford Coppola,1972,"Crime,Drama",USA,41773,515016
Pulp Fiction,5.0,4.31,0.69,06/22/2020,154,2:34,"English,Spanish,French",Quentin Tarantino,1994,"Crime,Thriller",USA,49099,879286
Before Sunrise,5.0,4.32,0.68,,101,1:41,"English,German,French",Richard Linklater,1995,"Romance,Drama",Austria,49317,252154
The Godfather: Part II,5.0,4.53,0.47,12/14/2019,202,3:22,"English,Italian,Latin,Spanish",Francis Ford Coppola,1974,"Drama,Crime",USA,20722,297523
Apocalypse Now,5.0,4.36,0.64,03/28/2020,147,2:27,"English,Khmer,French,Vietnamese",Francis Ford Coppola,1979,"War,Drama",USA,26289,260877
Her,5.0,4.05,0.95,,126,2:06,English,Spike Jonze,2013,"Romance,Science Fiction,Drama",USA,53551,601914
Do the Right Thing,5.0,4.34,0.66,10/02/2019,120,2:00,"English,Spanish,Italian,Korean",Spike Lee,1989,Drama,USA,25367,153577
Before Sunset,5.0,4.3,0.70,01/09/2020,80,1:20,"English,French",Richard Linklater,2004,"Romance,Drama",USA,31754,183398
The Social Network,5.0,3.95,1.05,06/20/2020,121,2:01,English,David Fincher,2010,Drama,USA,80175,664294
High and Low,5.0,4.46,0.54,04/14/2020,142,2:22,Japanese,Akira Kurosawa,1963,"Crime,Mystery,Drama,Thriller",Japan,7898,39449
GoodFellas,5.0,4.42,0.58,08/29/2021,145,2:25,"English,Italian",Martin Scorsese,1990,"Drama,Crime",USA,40031,435184
Jaws,5.0,4.01,0.99,06/13/2020,124,2:04,English,Steven Spielberg,1975,"Thriller,Horror,Adventure",USA,31729,363690
There Will Be Blood,5.0,4.39,0.61,03/01/2021,158,2:38,English,Paul Thomas Anderson,2007,Drama,USA,41877,330401
Boogie Nights,5.0,4.17,0.83,12/03/2021,156,2:36,English,Paul Thomas Anderson,1997,Drama,USA,29959,192563
No Country for Old Men,5.0,4.27,0.73,06/11/2020,122,2:02,"English,Spanish",Joel Coen,2007,"Drama,Thriller,Crime",USA,34940,467318
Chungking Express,5.0,4.26,0.74,04/11/2021,103,1:43,"Cantonese,English,Japanese,Hindi,Chinese,Eastern Punjabi, Eastern Panjabi",Wong Kar-wai,1994,"Romance,Comedy,Drama",Hong Kong,34140,154357
"Synecdoche, New York",4.5,4.12,0.38,07/24/2020,124,2:04,"English,German",Charlie Kaufman,2008,Drama,USA,22338,107234
Drive,5.0,3.97,1.03,,100,1:40,English,Nicolas Winding Refn,2011,"Thriller,Drama,Crime",USA,46464,471759
Seven Samurai,5.0,4.52,0.48,04/04/2020,207,3:27,Japanese,Akira Kurosawa,1954,"Action,Drama",Japan,15693,124920
The Grand Budapest Hotel,5.0,4.21,0.79,05/20/2020,100,1:40,"English,French",Wes Anderson,2014,"Comedy,Drama",Germany,63137,694979
His Girl Friday,5.0,3.99,1.01,05/21/2020,92,1:32,English,Howard Hawks,1940,"Comedy,Drama,Romance",USA,8117,41710
Inglourious Basterds,4.5,4.28,0.22,,153,2:33,"English,German,French,Italian",Quentin Tarantino,2009,"Thriller,Drama,Action,War",Germany,47647,742323
La La Land,4.5,3.94,0.56,12/11/2019,129,2:09,English,Damien Chazelle,2016,"Music,Drama,Romance,Comedy",USA,90115,753489
La Haine,4.5,4.38,0.12,,98,1:38,French,Mathieu Kassovitz,1995,Drama,France,21673,138734
Before Midnight,4.5,4.08,0.42,03/27/2020,109,1:49,"English,Greek (modern),French",Richard Linklater,2013,"Romance,Drama",Greece,24132,143900
Blade Runner 2049,4.5,4.09,0.41,01/27/2020,164,2:44,"English,Finnish,Hungarian,Japanese,Russian,Somali,Spanish",Denis Villeneuve,2017,"Science Fiction,Drama",Canada,58880,489357
The Wolf of Wall Street,4.5,4,0.50,07/20/2020,180,3:00,"English,French",Martin Scorsese,2013,"Comedy,Drama,Crime",USA,47148,751997
